Asset_ID,Resource_Name,Resource_Type,Public_Access,Open_Ports,Encryption_Status,IAM_Risk,Security_Group_Risk,Vulnerability_Count,Patch_Status,Logging_Enabled,Backup_Enabled,Dependency_Count,Misconfiguration_Count,Risk_Score,Risk_Level
ASSET-001,Cloud-Resource-1,RDS,No,14,Yes,Low,Medium,2,Outdated,No,Yes,9,3,37,Medium
ASSET-002,Cloud-Resource-2,VPC,Yes,14,No,Medium,Low,3,Updated,Yes,Yes,4,3,40,Medium
ASSET-003,Cloud-Resource-3,EC2,Yes,0,Yes,Low,Medium,0,Updated,No,Yes,9,2,30,Medium
ASSET-004,Cloud-Resource-4,RDS,No,20,Yes,Medium,Medium,9,Updated,No,Yes,9,3,40,Medium
ASSET-005,Cloud-Resource-5,VPC,Yes,2,No,Medium,High,8,Outdated,No,Yes,2,6,72,High
ASSET-006,Cloud-Resource-6,S3,No,15,No,Low,High,1,Updated,No,Yes,7,4,48,Medium
ASSET-007,Cloud-Resource-7,RDS,No,15,No,Medium,Medium,8,Updated,No,Yes,3,4,57,High
ASSET-008,Cloud-Resource-8,EC2,No,6,No,Medium,Low,9,Updated,Yes,Yes,2,3,36,Medium
ASSET-009,Cloud-Resource-9,S3,Yes,10,Yes,Low,Low,3,Outdated,No,No,8,5,65,High
ASSET-010,Cloud-Resource-10,EC2,Yes,14,Yes,Medium,Medium,0,Updated,No,Yes,9,3,43,Medium
ASSET-011,Cloud-Resource-11,VPC,Yes,3,Yes,Low,Medium,10,Updated,No,Yes,7,3,39,Medium
ASSET-012,Cloud-Resource-12,EC2,Yes,10,No,Medium,Medium,6,Updated,No,Yes,3,5,66,High
ASSET-013,Cloud-Resource-13,RDS,No,2,No,Medium,High,10,Updated,Yes,No,2,4,50,High
ASSET-014,Cloud-Resource-14,EC2,Yes,10,Yes,Low,Medium,10,Outdated,Yes,Yes,6,4,53,High
ASSET-015,Cloud-Resource-15,VPC,No,6,Yes,Medium,Medium,8,Outdated,Yes,Yes,1,3,41,Medium
ASSET-016,Cloud-Resource-16,EC2,No,12,No,Medium,Medium,6,Updated,Yes,No,2,4,54,High
ASSET-017,Cloud-Resource-17,Lambda,No,16,No,Medium,Medium,7,Outdated,Yes,No,2,5,66,High
ASSET-018,Cloud-Resource-18,S3,No,4,No,Medium,Medium,1,Updated,Yes,No,3,2,30,Medium
ASSET-019,Cloud-Resource-19,IAM,Yes,0,Yes,Low,Medium,8,Outdated,Yes,No,2,4,48,Medium
ASSET-020,Cloud-Resource-20,EC2,No,12,No,Low,High,1,Updated,No,No,6,5,66,High
ASSET-021,Cloud-Resource-21,IAM,Yes,12,No,High,Low,5,Updated,Yes,No,5,5,69,High
ASSET-022,Cloud-Resource-22,S3,No,12,No,High,Low,6,Updated,Yes,Yes,9,4,48,Medium
ASSET-023,Cloud-Resource-23,RDS,Yes,5,No,High,High,6,Updated,Yes,No,6,6,81,Critical
ASSET-024,Cloud-Resource-24,Lambda,Yes,18,Yes,High,Medium,7,Updated,Yes,No,1,5,67,High
ASSET-025,Cloud-Resource-25,VPC,Yes,2,No,Low,High,7,Outdated,No,No,3,7,94,Critical
ASSET-026,Cloud-Resource-26,RDS,No,9,Yes,Low,Low,9,Updated,No,Yes,1,3,36,Medium
ASSET-027,Cloud-Resource-27,Lambda,Yes,12,Yes,Medium,High,5,Updated,Yes,Yes,9,3,38,Medium
ASSET-028,Cloud-Resource-28,S3,Yes,5,No,Low,Medium,7,Outdated,No,Yes,4,5,60,High
ASSET-029,Cloud-Resource-29,IAM,No,6,No,Low,Medium,3,Outdated,Yes,Yes,9,3,44,Medium
ASSET-030,Cloud-Resource-30,RDS,Yes,1,No,High,Medium,9,Updated,No,Yes,2,5,65,High
ASSET-031,Cloud-Resource-31,S3,Yes,4,Yes,High,Medium,6,Updated,No,Yes,4,4,52,High
ASSET-032,Cloud-Resource-32,EC2,No,16,No,Low,Medium,10,Updated,Yes,Yes,10,3,46,Medium
ASSET-033,Cloud-Resource-33,IAM,Yes,18,No,High,High,10,Updated,Yes,Yes,4,6,80,Critical
ASSET-034,Cloud-Resource-34,IAM,No,16,No,Low,Low,6,Outdated,Yes,No,6,5,61,High
ASSET-035,Cloud-Resource-35,RDS,Yes,15,No,Medium,Low,6,Outdated,No,Yes,5,6,74,High
ASSET-036,Cloud-Resource-36,IAM,Yes,8,Yes,High,High,9,Updated,Yes,Yes,10,5,61,High
ASSET-037,Cloud-Resource-37,Lambda,Yes,4,Yes,Low,High,1,Outdated,Yes,No,3,4,50,High
